"","name","longitude","latitude","sample","event","year","month","day","time","country","state","county"
"88","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130053",1983,7,196,8.5,"Canada","Quebec","La Mitis"
"89","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130054",1983,7,197,14,"Canada","Quebec","La Mitis"
"90","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130055",1983,7,198,14,"Canada","Quebec","La Mitis"
"91","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130056",1983,7,202,10.5,"Canada","Quebec","La Mitis"
"92","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130061",1983,7,212,13.25,"Canada","Quebec","La Mitis"
"93","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130062",1983,6,154,8,"Canada","Quebec","La Mitis"
"94","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130063",1983,6,155,4.5,"Canada","Quebec","La Mitis"
"95","Passerella iliaca",-68.53333,48.45,"L4996381","S32130090",1983,7,208,6.67,"Canada","Quebec","Rimouski-Neigette"
"96","Passerella iliaca",-68.36667,48.43333,"L5001633","S32130099",1983,6,178,17.42,"Canada","Quebec","Rimouski-Neigette"
"97","Passerella iliaca",-68.78333,48.35,"L5001636","S32130101",1983,6,174,11.67,"Canada","Quebec","Rimouski-Neigette"
"98","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130102",1983,6,156,7.25,"Canada","Quebec","La Mitis"
"99","Passerella iliaca",-69.5062923,47.9404107,"L610533","S6517847",1983,7,206,7,"Canada","Quebec","Rivière-du-Loup"
"100","Passerella iliaca",-70.4445934,46.7709678,"L741272","S6518179",1984,6,156,4,"Canada","Quebec","Montmagny"
"101","Passerella iliaca",-70.4445934,46.7709678,"L741272","S6518191",1984,6,157,4,"Canada","Quebec","Montmagny"
"102","Passerella iliaca",-70.4445934,46.7709678,"L741272","S6518192",1984,6,158,4,"Canada","Quebec","Montmagny"
"103","Passerella iliaca",-61.4651585,47.7928614,"L352291","S20712596",1985,7,191,6.5,"Canada","Quebec","Les Îles-de-la-Madeleine"
"104","Passerella iliaca",-61.746254,47.4782322,"L3184526","S20717696",1985,7,187,7,"Canada","Quebec","Les Îles-de-la-Madeleine"
"105","Passerella iliaca",-61.746254,47.4782322,"L3184526","S20717735",1985,7,188,0,"Canada","Quebec","Les Îles-de-la-Madeleine"
"106","Passerella iliaca",-61.746254,47.4782322,"L3184526","S20717837",1985,7,189,0,"Canada","Quebec","Les Îles-de-la-Madeleine"
