name,longitude,latitude
Passerella iliaca,-81.628807,52.462066
Passerella iliaca,-86.9464869,54.7665666
Passerella iliaca,-84.65538,53.69426
Passerella iliaca,-89.5723439,54.9866084
Passerella iliaca,-81.628807,52.462066
Passerella iliaca,-92.9886675,52.4984326
Passerella iliaca,-80.69204,51.798942
Passerella iliaca,-83.7880126,54.9039449
Passerella iliaca,-90.2022775,55.019964
Passerella iliaca,-92.7479619,53.734274
Passerella iliaca,-84.766134,53.0306255
Passerella iliaca,-80.69204,51.798942
Passerella iliaca,-80.4717207,51.3284541
Passerella iliaca,-81.628807,52.462066
Passerella iliaca,-84.61624,54.73083
Passerella iliaca,-81.628807,52.462066
Passerella iliaca,-83.9085391,54.9147743
Passerella iliaca,-80.3841,51.3391
Passerella iliaca,-83.7154557,53.6798068
Passerella iliaca,-83.079529,54.753161
Passerella iliaca,-85.4243732,55.0252036
Passerella iliaca,-84.9810205,53.7764304
Passerella iliaca,-94.9412411,52.0596049
Passerella iliaca,-82.4015808,54.7357219
Passerella iliaca,-81.628807,52.462066
Passerella iliaca,-85.122025,55.2482435
Passerella iliaca,-83.5215241,53.5277483
Passerella iliaca,-85.4253549,54.9989637
Passerella iliaca,-83.8999951,54.9200942
Passerella iliaca,-65.92393,49.02694
Passerella iliaca,-76.33333,47.83333
Passerella iliaca,-61.45,47.63333
Passerella iliaca,-78.2085371,53.0243349
Passerella iliaca,-61.904125,47.396673
Passerella iliaca,-67.95,49.41667
Passerella iliaca,-61.85,47.23333
Passerella iliaca,-64.6051025,48.8945182
Passerella iliaca,-69.8777,54.848366
Passerella iliaca,-61.9018853,49.1975752
Passerella iliaca,-61.45,47.63333
Passerella iliaca,-65.17207,48.64257
Passerella iliaca,-68.08333,48.23333
Passerella iliaca,-61.527558,47.557772
Passerella iliaca,-63.1782532,50.6015446
Passerella iliaca,-61.9,47.36667
Passerella iliaca,-66.880799,50.0329399
Passerella iliaca,-63,49.382698
Passerella iliaca,-60.278008,51.239685
Passerella iliaca,-63.1782532,50.6015446
Passerella iliaca,-69.53333,47.63333
Passerella iliaca,-69.25,48.14222
Passerella iliaca,-68.75,48.23333
Passerella iliaca,-77.44623,53.29943
Passerella iliaca,-61.7078447,47.5282713
Passerella iliaca,-61.9749498,47.2639706
Passerella iliaca,-61.85,47.23333
Passerella iliaca,-70.5428696,47.5793049
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-65.8,49.03333
Passerella iliaca,-68.4082603,58.1040534
Passerella iliaca,-77.6,49.06667
Passerella iliaca,-66.05,49.11667
Passerella iliaca,-70.7835388,48.006268
Passerella iliaca,-64.2344856,48.5203566
Passerella iliaca,-70.4665861,46.6288371
Passerella iliaca,-65.51667,48.95
Passerella iliaca,-64.8,48.36667
Passerella iliaca,-71.9591618,47.1995535
Passerella iliaca,-62.08333,50.21667
Passerella iliaca,-71.84078,47.23899
Passerella iliaca,-71.2087413,47.6853201
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-61.9655085,47.2396651
Passerella iliaca,-61.9098473,47.387135
Passerella iliaca,-70.4546142,46.5350817
Passerella iliaca,-61.45,47.63333
Passerella iliaca,-77.4981058,53.5457948
Passerella iliaca,-61.95,47.35
Passerella iliaca,-65.6275177,48.9418963
Passerella iliaca,-68.66684,50.75728
Passerella iliaca,-70.7835388,48.006268
Passerella iliaca,-65.96667,48.86667
Passerella iliaca,-65.11667,48.78333
Passerella iliaca,-66.0345268,48.9555827
Passerella iliaca,-67.3046494,49.4199074
Passerella iliaca,-70.8754879,50.346739
Passerella iliaca,-61.86667,47.38333
Passerella iliaca,-66.00298,48.98509
Passerella iliaca,-61.54285,47.55411
Passerella iliaca,-71.10054,47.35272
Passerella iliaca,-76.0750651,52.7537888
Passerella iliaca,-69.46667,47.88333
Passerella iliaca,-65.4821634,48.9688236
Passerella iliaca,-64.474347,48.772349
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-69.25,48.14222
Passerella iliaca,-70.8929974,50.3873338
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-70.76667,54.53333
Passerella iliaca,-61.5160561,47.6199965
Passerella iliaca,-70.7835388,48.006268
Passerella iliaca,-61.9463511,47.3247713
Passerella iliaca,-61.9062424,47.4154855
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-77.61667,53.78333
Passerella iliaca,-70.4719019,47.8812687
Passerella iliaca,-72.98099,53.77929
Passerella iliaca,-61.8839693,47.3811783
Passerella iliaca,-68.46667,48.36667
Passerella iliaca,-67.5942421,49.3219892
Passerella iliaca,-68.8032103,48.3546124
Passerella iliaca,-70.56658,48.62359
Passerella iliaca,-77.2712231,52.0196488
Passerella iliaca,-77.4652004,51.1854764
Passerella iliaca,-71.4085373,47.9658066
Passerella iliaca,-71.6009957,48.2447037
Passerella iliaca,-71.0844183,47.9807874
Passerella iliaca,-63.7506924,50.2119996
Passerella iliaca,-72.04912,47.14614
Passerella iliaca,-66.08333,50.18333
Passerella iliaca,-63.81667,50.21667
Passerella iliaca,-71.1460876,47.3211427
Passerella iliaca,-70.5215221,50.0394656
Passerella iliaca,-61.76306,47.42717
Passerella iliaca,-68.46667,48.36667
Passerella iliaca,-61.8767032,47.3928723
Passerella iliaca,-68.08333,48.23333
Passerella iliaca,-61.9122076,47.2356552
